group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,3.5,2.5,0.131485,0.0483223,0
0,215585,0.302629,286.704,1675.64,4,2.5,0.119328,0.0441987,0
0,215585,0.302629,286.704,1675.64,4.5,2.5,0.107137,0.0406751,0
0,215585,0.302629,286.704,1675.64,5,2.5,0.09545,0.0383621,0
0,215585,0.302629,286.704,1675.64,5.5,2.5,0.0837433,0.0362399,0
0,215585,0.302629,286.704,1675.64,6,2.5,0.0723383,0.034496,0
0,215585,0.302629,286.704,1675.64,6.5,2.5,0.0610022,0.0323755,0
0,215585,0.302629,286.704,1675.64,7,2.5,0.049974,0.02995,0
0,215585,0.302629,286.704,1675.64,7.5,2.5,0.0392525,0.0268841,0
0,215585,0.302629,286.704,1675.64,8,2.5,0.0291402,0.0233906,0
0,215585,0.302629,286.704,1675.64,8.5,2.5,0.0199058,0.0195876,0
0,215585,0.302629,286.704,1675.64,9,2.5,0.0119585,0.0160025,0
0,215585,0.302629,286.704,1675.64,9.5,2.5,0.00545293,0.0132863,0
0,215585,0.302629,286.704,1675.64,10,2.5,9.47E-18,0.0122627,0
0,215585,0.302629,286.704,1675.64,10.5,2.5,-0.00545293,0.0132863,0
0,215585,0.302629,286.704,1675.64,11,2.5,-0.0119585,0.0160025,0
0,215585,0.302629,286.704,1675.64,11.5,2.5,-0.0199058,0.0195876,0
0,215585,0.302629,286.704,1675.64,12,2.5,-0.0291402,0.0233906,0
0,215585,0.302629,286.704,1675.64,12.5,2.5,-0.0392525,0.0268841,0
0,215585,0.302629,286.704,1675.64,13,2.5,-0.049974,0.02995,0
0,215585,0.302629,286.704,1675.64,13.5,2.5,-0.0610022,0.0323755,0
0,215585,0.302629,286.704,1675.64,14,2.5,-0.0723383,0.034496,0
0,215585,0.302629,286.704,1675.64,14.5,2.5,-0.0837433,0.0362399,0
0,215585,0.302629,286.704,1675.64,15,2.5,-0.09545,0.0383621,0
0,215585,0.302629,286.704,1675.64,15.5,2.5,-0.107137,0.0406751,0
0,215585,0.302629,286.704,1675.64,16,2.5,-0.119328,0.0441987,0
0,215585,0.302629,286.704,1675.64,16.5,2.5,-0.131485,0.0483223,0
0,215585,0.302629,286.704,1675.64,17,2.5,-0.144441,0.0543062,0
0,215585,0.302629,286.704,1675.64,17.5,2.5,-0.156906,0.0609881,0
0,215585,0.302629,286.704,1675.64,18,2.5,-0.169453,0.0695902,0
0,215585,0.302629,286.704,1675.64,18.5,2.5,-0.178525,0.0772039,0
0,215585,0.302629,286.704,1675.64,19,2.5,-0.186277,0.0840253,0
0,215585,0.302629,286.704,1675.64,19.5,2.5,-0.190893,0.0898372,0
0,215585,0.302629,286.704,1675.64,20,2.5,-0.193856,0.0936246,0
0,215585,0.302629,286.704,1675.64,0,3,0.196615,0.0958885,0
0,215585,0.302629,286.704,1675.64,0.5,3,0.195024,0.093007,0
